#,Depth,year,Abiskomyia,Ablabesmyia,Brillia,Chironomus spp.,Cladopelma spp.,Cladotanytarsus spp.,Constempellina,Corynocera ambigua-type,Corynocera oliveri-type,Corynoneura Thienemanniella spp.,Cricotopus Orthocladius spp.,Cryptochironomus,Cryptotendipes,Cyphomella Harnischia Paracladopelma spp.,Derotanypus,Dicrotendipes spp.,Einfeldia spp.,Endochironomus spp.,Eukieffferiella Tvetenia spp.,Georthocladius spp,Glyptotendipes spp.,Heterotanytarsus,Heterotrissocladius spp,Hydrobaenus Oliveridia spp.,Labrundinia,Lauterborniella Zavreliella spp.,Limnophyes Paralimnophyes,Mesocricotopus,Metriocnemus spp.,Micropsectra spp.,Microtendipes spp.,Monodiamesa,Nanocladius spp.,Omisus,Pagastiella,Parachironomus spp.,Paracladius,Paracricotopus,Parakiefferiella spp.,Parametriocnemus,Pentaneurini other,Phaenopsectra spp.,Polypedilum spp.,Potthastia spp.,Procladius,Protanytpus ,Psectrocladius Allopsectrocladius Mesopsectrocladius spp.,Psectrocladius Monopsectrocladius,Psectrocladius Psectrocladius spp.,Pseudochironomus,Pseudosmittia Smittia spp.,Pseudodiamesa,Sergentia spp.,Stempellina,Stempellinella Zavrelia spp,Stictochironomus spp.,Synorthocladius,Tanytarsina other,Thienemannimyia type,Zalutschia spp.,Zalutschia zalutschicola
1,0.5,2011,0,0,0,5,1.5,2,0,0,5,0,1.5,1,0,0,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.5,0.5,0,0,4,0,0,0,1,0.5,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
2,1,2008,0,0,0,3,1,1,0,0,3,0,0.5,1.5,0,0,0,3.5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,4,0,12,0,0,1.5,0,0,0,0,0,0,1.5,0,0,13.5,0,0,0
3,1.5,2006,0,0,0,6,5,4,0,0,17.5,2,3,0.5,0,0.5,0,3.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0.5,0,11,0,0,0
4,2,2003,0,0,0,3,1,3,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,10,0,3,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0
5,2.5,2000,0,0,0,7,6,2,0,0,7,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
6,3,1996,0,2,0,10.5,3,10,0,0,11,1,2,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1,0,0
7,3.5,1993,0,0,0,10,3.5,4.5,0,0,12.5,0,1.5,0,0,3,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
8,4,1989,0,0,0,6.5,2,10.5,0,0,16.5,0,4,1.5,0,1,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,1,0,7,0,5.5,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
9,4.5,1983,0,2,0,14,2,3,0,0,7.5,0,0.5,1,0,0,0,5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.5,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
10,5,1976,0,3,0,12,0,2,0,0,5,0,4.5,0,0,0,0,2,0,1,0,0,0,0,1.5,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0.5,0,2,0,9,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0
11,5.5,1969,0,3,0,8.5,0,1.5,0,0,7,0,6,0,0,0,0,4,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
12,6,1964,0,2,0,14,0,2.5,0,0,4,0,7,0,0,0,0,4.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5,0,0,0,11,0,0,0,0.5,0,0,0,0,0,3,0,0,4,0,0,0
13,6.5,1959,0,2,0,18,0,1,0,0,5,0,5,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,4,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,3.5,0,0,0
14,7,1952,0,7,0,17,0,0,0,0,1,0,7,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
15,7.5,1945,0,0,0,17,0,4.5,0,0,5.5,0,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0
16,8,1937,0,0,0,11,1,5.5,0,0,2,0,11,1,0,1,0,5.5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0.5,0,0,7,0,0,0
17,8.5,1929,0,0,0,15,0,3,0,0,3,0,15,1,0,0,0,5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1.5,0,0,16,0,0,0
18,9,1922,0,3,0,10,0,1,0,0,5,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0
19,9.5,1915,0,0,0,14.5,0,2,0,0,3,0,9.5,0.5,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,9,0,0,0
20,10,1906,0,4,0,21,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
21,11,1893,0,12,0,15,0,0,0,0,0,0,9.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0
22,12,1877.74,0,4,0,30,0,0.5,0,0,0,0,8,0,0,0,0,3,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0
23,13,1861.61,0,8,0,10,0,0,0,0,1,0,19,0,0,0,0,5.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0
24,14,1844.51,0,7,0,15,0,1,0,0,2,0,13.5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.5,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0
25,15,1830.34,0,6,0,18,0,1,0,0,0.5,0,10.5,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0
